new_id,old_id
GB-CASC-cd734f9c,GB-CASC-a1c2edb0
GB-CASC-e06cdef6,GB-CASC-8b7e0a71
GB-CASC-c8abdf87,GB-CASC-c8abdf87
GB-CASC-a4a15003,GB-CASC-f53e9c5b
GB-CASC-3286cf89,GB-CASC-3286cf89
GB-CASC-026f5903,GB-CASC-026f5903
GB-CASC-ba56e0f5,GB-CASC-651202b0
GB-CASC-dd535f42,GB-CASC-548cf512
GB-CASC-7f109d81,GB-CASC-5c369bde
GB-CASC-b3702f11,GB-CASC-abe1e538
GB-CASC-04531410,GB-CASC-67552bf9
GB-CASC-0afe43a7,GB-CASC-0afe43a7
GB-CASC-99957ebf,GB-CASC-99957ebf
GB-CASC-fd7c55c7,GB-CASC-cf95c532
GB-CASC-3cb7caaf,GB-CASC-2089f3e4
GB-CASC-2fd07e44,GB-CASC-c163e382
GB-CASC-b374f282,GB-CASC-3677c799
GB-CASC-c565e1e4,GB-CASC-c565e1e4
GB-CASC-6f2e2998,GB-CASC-6f2e2998
GB-CASC-58070e38,GB-CASC-ef776453
GB-CASC-8b831106,GB-CASC-ff2ed570
GB-CASC-dd40e43a,GB-CASC-dd40e43a
GB-CASC-caf53471,GB-CASC-e5a1716f
GB-CASC-151f13c7,GB-CASC-387e1176
GB-CASC-3d47a4b5,GB-CASC-3d47a4b5
GB-CASC-ed9292a8,GB-CASC-ed9292a8
GB-CASC-27f38e3b,GB-CASC-27f38e3b
GB-CASC-df0e7943,GB-CASC-767d677b
GB-CASC-84f01526,GB-CASC-14512151
GB-CASC-33d19a74,GB-CASC-2a8758e7
GB-CASC-bcb3f58e,GB-CASC-9ebb1e99
GB-CASC-a7767eef,GB-CASC-5c9616ff
GB-CASC-8f3fc497,GB-CASC-4d71393b
GB-CASC-d5836a97,GB-CASC-370d8463
GB-CASC-3e25f353,GB-CASC-b583198e
GB-CASC-2987b723,GB-CASC-2987b723
GB-CASC-67649e5d,GB-CASC-67649e5d
GB-CASC-a19d5ae4,GB-CASC-10fa4998
