casc_orgid,casc_name,casc_postcode,ch_orgid,ch_number,ch_name,ch_postcode,ch_type
GB-CASC-6b27a9b1,Burton Manor Sports Association Ltd,ST17 4EY,GB-COH-01814513,01814513,BURTON MANOR SPORTS ASSOCIATION LIMITED,ST18 9AT,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-6c40e93b,Bury Gymnastics Club Ltd,BL6 4AA,GB-COH-07074730,07074730,BURY GYMNASTICS CLUB LIMITED,BL9 9RG,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-91ce2800,Cabot Cruising Club,BS1 6SG,GB-COH-10836344,10836344,CABOT CRUISING CLUB,BS1 6SG,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)"
GB-CASC-1c6f35d1,Caereinion Old Boys Rugby Association Ltd,SY21 7AD,GB-COH-06051336,06051336,CAEREINION OLD BOYS RUGBY ASSOCIATION LIMITED,SY22 6DA,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-298858e0,Caithness Autocross Club Ltd,KW14 8YN,GB-COH-SC504067,SC504067,CAITHNESS AUTOCROSS CLUB LTD,KW14 8YN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-cfbb7d85,Caldy Sports Club Ltd,CH49 3NE,GB-COH-IP29639R,IP29639R,CALDY SPORTS CLUB LIMITED,,Industrial and Provident Society
GB-CASC-15992846,Calne Recreation Club Ltd,SN11 8DU,GB-COH-04582419,04582419,CALNE RECREATION CLUB LIMITED,SN11 8DX,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-f927f37d,Cambridge City Hockey Club Limited,CB3 9AD,GB-COH-11290176,11290176,CAMBRIDGE CITY HOCKEY CLUB LIMITED,CB3 9AD,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-797663c8,Cambridge Park Bowling and Sports Club,TW1 2PG,GB-COH-00171735,00171735,CAMBRIDGE PARK BOWLING AND SPORTS CLUB,TW1 2PG,Private Unlimited Company
GB-CASC-8a6bec33,Camp Hill Rugby Club Ltd,B90 4ER,GB-COH-06923844,06923844,CAMP HILL RUGBY CLUB LIMITED,B90 2EF,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
GB-CASC-f037cd27,Canwick Park Golf Club Ltd,LN4 1EF,GB-COH-01103769,01103769,CANWICK PARK GOLF CLUB LIMITED,S1 3FZ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)"
